stem,real_fg_lum,real_bg_lum,real_bg_r,real_bg_g,real_bg_b,gen_fg_lum,gen_bg_lum,gen_bg_r,gen_bg_g,gen_bg_b,auth_fg_lum,auth_bg_lum,auth_bg_r,auth_bg_g,auth_bg_b
3872,109.52532418903473,57.26859732433082,68.42901884221551,92.89711519884486,10.479657931932115,110.29998817547593,71.82645773805288,83.8058936579116,73.5628260272719,58.11065352897512,108.79933782665248,91.47071304854775,101.80577163600866,96.53801490700914,76.06835260262551
3873,53.75147113813939,113.44285534090798,93.44434957259152,206.36710555679537,40.51711089333708,53.966837889433386,84.77039610076685,75.82051754751947,111.11371685279877,67.37695390198228,49.09194859380843,38.910077654767804,27.370695593957095,53.95853992218352,35.40099744816278
3874,183.89075840388668,163.98524041898787,196.54481855215997,161.683513509623,133.7273891951806,183.88339942128388,200.24134506038664,193.37911874361225,201.1251637421008,206.21975269544689,173.79952130889865,177.29643917910624,176.85721688810835,176.68816306554004,178.34393758367042
3875,93.84626191138855,175.76424632837458,156.9226981834284,175.13731299222977,195.23272780946556,93.62747670735425,56.207051910580674,61.53905681662432,54.67864711277926,52.40345180233845,85.53166872092561,63.706944722664446,61.55750719564782,61.97943046315723,67.58389650918829
3878,92.97791451488847,102.21348358907633,117.98480596148264,110.68968891469618,77.96595589105024,92.96940507148177,83.77911832281329,88.67523683559685,96.14376807854016,66.51835005430283,88.46038896824525,89.21889236570355,83.79129434282827,107.0905943202469,76.7747884340355
3880,117.03372473325828,144.09184862302394,147.05747946086012,143.44550348512544,141.77256292308618,117.08305184708595,87.82708287300217,106.40417411566197,86.78061788160618,70.29645662173834,109.91520561900167,90.04272208049602,100.44493100054235,93.95025410280618,75.73298113813952
3882,112.11155700637896,130.32505859668163,139.67016129963397,130.90633767853225,120.39867681187867,112.09280943966937,128.6497284731764,142.38023761964692,121.18269463912526,122.38625316075697,110.64162998013438,134.0018935676431,134.44351048967198,129.73993464882403,137.82223556443327
3883,199.84896316929743,121.89021972351232,91.33796748961134,120.87759716450745,153.45509451641814,199.8906298359641,145.287192074744,149.08526847551536,144.45156033569626,142.32474741302045,189.1789693593315,89.67393193731498,90.2037704717673,92.77491240935386,86.04311293082375
3885,79.84750318618933,98.80350305203861,114.25734934521546,147.71027549856,34.44288431234038,79.84548719731201,65.93271386911553,85.57309134380264,57.481084605770796,54.74396565777319,78.09162321863052,83.93855711931026,108.27850893875998,74.03892843558116,69.49823398358963
3891,83.10483299222815,155.74710991128904,167.52977317156422,161.56455766903528,138.14699889326755,83.61239750123735,48.14965711980637,69.18146274862693,35.37835769179053,39.889150919001665,79.10582286608613,21.112235082384338,34.66424633588813,18.316980585637303,10.35547832562758
3894,110.95328547615206,107.90405165049089,143.67133733876727,170.35560480652074,9.685212806184614,111.02337742646665,118.20890928952565,130.24479013486828,117.72695474980043,106.65498298390824,110.13327418400817,155.69347926557708,167.89082391496154,157.81563799840342,141.37397588336626
3895,167.67482061317676,87.68295645402188,85.15754833760482,97.39704831145283,80.494272713008,167.33012193286166,118.05031062758977,116.62763045487037,118.14336523876771,119.37993618913123,163.8546088614582,165.1901947451924,161.99268615862056,161.91205955681085,171.66583852014574
3896,48.10382758449057,199.08718020438948,224.5693635555378,212.93663526567636,159.7555417919543,47.90483300980538,57.74506924534396,69.03844040638143,76.32087949412106,27.875887835529404,39.4355183913195,64.34918034424543,67.07729039089737,71.78488157198086,54.18536906985805
3898,100.81252725170144,127.63853657107707,128.2873936944062,128.7406875811633,125.88752843766171,100.80488729644163,68.1834884182639,81.97450618549655,61.575597801146294,61.00036126814884,95.92868111243816,99.04400962079862,97.37858949197887,95.69778454748723,104.05565482292978
3901,125.55929425786404,130.83460978589247,110.10206500032918,125.30655708924927,157.09520726809893,125.20433746222277,50.299055644553675,41.41991265992232,49.674976409401125,59.8022778643376,115.41205891116502,120.90032697667274,124.69728324079966,121.59658978691654,116.407107902302
3903,148.1746596297996,104.83609842834107,91.74127525880385,105.91349848560192,116.8535215406175,148.36125133853452,129.39373220017177,138.78379141991772,127.73460738664618,121.66279779395146,138.1201239100505,94.66589439898739,107.2145924686949,94.90229872067266,81.8807920075946
3905,81.20218413468831,141.93738775678162,119.71577592212121,153.97755870448913,152.1188286437345,81.17751150209818,120.53479943918806,68.31775816307635,114.78066609644907,178.50597405803873,71.10996511451539,88.0514283362873,78.4271958521079,85.73188603878067,99.99520311797332
3906,49.76905177428737,137.07913381551228,156.79560826220109,140.9103929106666,113.53140027366912,50.22547993019197,148.31359006103256,150.35105232292958,148.18605590669185,146.40366195347625,40.940081442699245,93.0366760061684,108.17682934775526,96.12670880302339,74.8064898677266
3909,165.65781886024422,119.69145491491949,85.6610215360073,118.77485471741112,154.63848849134,165.61408864767074,148.67545483895472,123.36813468550592,144.0978378532361,178.56039197812214,155.12692220714607,113.37222728653906,77.57383773928898,113.35225330446673,149.19059081586144
3910,87.2233789747652,122.41240864992633,149.24418239346542,171.4676637569284,46.52537979938514,87.75621440156917,33.541274899206364,23.566052554810046,41.11189776271795,35.945874380091105,81.74848176228734,69.43568655611158,81.18580436685143,77.8996140295761,49.22164127190719
3913,86.87650908270338,133.5945694898019,172.08547626962866,133.9478264270489,94.75040577272816,86.85798638534732,63.963852005397264,49.45145393746211,65.7483035766666,76.69179850206308,71.73190040994395,68.53753968098768,83.14493419637445,62.46186714120891,60.00581770537967
3916,147.56080949601088,112.57770269077453,88.04466735162961,112.46173563961064,137.22670508108337,147.4439718677897,116.90594470159978,110.0864324375854,121.57337753815844,119.0580241290555,134.46646095682874,102.65283677050563,83.64089228781154,113.77954432310479,110.53807370060058
3918,217.3992345601342,50.99573018794686,51.49515420157019,56.484786446790125,45.00724991548026,217.32059347803295,200.08088226087176,193.391288832125,203.70155140678412,203.1498065437061,209.35765964139668,210.854926561737,205.35740580744525,213.04712445062168,214.16024942714398
3919,64.73943582827603,169.9352257717619,199.5411771925518,171.64733316968827,138.61716695304554,64.66307035288828,146.6333035265514,152.36885892625452,145.96076901497352,141.5702826384262,55.096369970779946,107.36978819651436,112.49112809902864,107.96600273521058,101.65223375530385
3921,71.78749181401442,185.52262120922526,206.82396788990826,187.57695431957185,162.1669414181957,72.03159790438768,129.4883489424057,128.20824971330276,127.80669438073394,132.45010273318042,65.626125573019,67.59959543832825,63.60401137232416,75.60824015672783,63.58653478593272
3923,141.7711372197607,66.91895288920068,68.44159797559692,71.1943852880014,61.120875404003705,141.710019747432,128.0685198640376,123.86986696063938,129.1521183574274,131.18357427404604,135.7036889530542,126.38546338285772,109.30909728659834,136.0054368250946,133.84185603688022
3924,79.43990833130526,143.9197430329352,150.9134610413112,143.98730675766507,136.85846129982937,79.48008436764826,110.74246419523293,117.99082260482912,108.44246678041466,105.794103200455,74.724405775939,95.2622925391655,112.08047670751253,93.56142391810144,80.14497699188253
