embedder,k,set,role,n_real,n_other,precision,recall,recall_share_of_ceiling,recall_delta_vs_raw,rel_loss_vs_raw
clipL224,5,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.4124128818511963,0.747029721736908,0.8364745034394149,,
clipL224,5,NC4K (a different real set),cross-dataset,4040,4121,0.6823586225509644,0.7920792102813721,0.8869179429224044,,
clipL224,5,"ceiling, RANDOM halves",ceiling,2020,2020,0.8767327070236206,0.893069326877594,1.0,,
clipL224,5,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.6485148668289185,0.8292079567909241,0.9284922590388967,,
clipL224,5,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.5160000324249268,0.8730263710021973,0.9775572228580818,,
clipL224,10,authors' pool,generated,4040,4447,0.7566899061203003,0.20049504935741425,0.21170935534469473,-0.679950550198555,0.7722800256386891
clipL224,10,local renders,generated,4040,4447,0.7164380550384521,0.249752476811409,0.26372190251553923,-0.6306931227445602,0.7163340052612388
clipL224,10,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.5034855008125305,0.8804455995559692,0.9296916352572001,,
clipL224,10,NC4K (a different real set),cross-dataset,4040,4121,0.8102402091026306,0.89207923412323,0.941975974857825,,
clipL224,10,"ceiling, RANDOM halves",ceiling,2020,2020,0.9420792460441589,0.947029709815979,1.0,,
clipL224,10,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.7831683158874512,0.9222772717475891,0.973863081789483,,
clipL224,10,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.6190000176429749,0.94539475440979,0.99827359649941,,
clipL224,20,authors' pool,generated,4040,4447,0.8608050346374512,0.30074259638786316,0.3074392880914992,-0.6603960692882538,0.6870975987878871
clipL224,20,local renders,generated,4040,4447,0.828648567199707,0.37846535444259644,0.38689271335234243,-0.5826733112335205,0.6062323076177948
clipL224,20,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.5893861055374146,0.9611386656761169,0.9825405203045716,,
clipL224,20,NC4K (a different real set),cross-dataset,4040,4121,0.9022082090377808,0.9455446004867554,0.9665992191458668,,
clipL224,20,"ceiling, RANDOM halves",ceiling,2020,2020,0.9747524857521057,0.9782178401947021,1.0,,
clipL224,20,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.8826733231544495,0.9648514986038208,0.986336027578253,,
clipL224,20,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.7630000114440918,0.9792763590812683,1.0010820891248062,,
