name,mae,contaminated
COD10K-CAM-1-Aquatic-13-Pipefish-752,0.03956782187727215,0
COD10K-CAM-1-Aquatic-13-Pipefish-759,0.022953158110574957,0
COD10K-CAM-1-Aquatic-13-Pipefish-769,0.13202459679604972,0
COD10K-CAM-1-Aquatic-13-Pipefish-772,0.07159362992430045,0
COD10K-CAM-1-Aquatic-13-Pipefish-774,0.053811969632416766,0
COD10K-CAM-1-Aquatic-13-Pipefish-776,0.07479613559697967,0
COD10K-CAM-1-Aquatic-13-Pipefish-777,0.0922163117771196,0
COD10K-CAM-1-Aquatic-13-Pipefish-781,0.02605867014315517,0
COD10K-CAM-1-Aquatic-13-Pipefish-788,0.1357616094771242,0
COD10K-CAM-1-Aquatic-13-Pipefish-789,0.05886817514834881,0
COD10K-CAM-1-Aquatic-13-Pipefish-795,0.030411158050593353,0
COD10K-CAM-1-Aquatic-13-Pipefish-800,0.18344463965558305,0
COD10K-CAM-1-Aquatic-13-Pipefish-804,0.026513372328293417,0
COD10K-CAM-1-Aquatic-13-Pipefish-807,0.037070010650895095,0
COD10K-CAM-1-Aquatic-13-Pipefish-810,0.09262528392181965,0
COD10K-CAM-1-Aquatic-13-Pipefish-813,0.02312636531256383,0
COD10K-CAM-1-Aquatic-13-Pipefish-818,0.8443163083248253,0
COD10K-CAM-1-Aquatic-13-Pipefish-826,0.023404456996955543,0
COD10K-CAM-1-Aquatic-13-Pipefish-830,0.0637273819870507,0
COD10K-CAM-1-Aquatic-13-Pipefish-832,0.03028857109278557,0
COD10K-CAM-1-Aquatic-13-Pipefish-833,0.20451143705894548,0
COD10K-CAM-1-Aquatic-13-Pipefish-835,0.02343805856476192,0
COD10K-CAM-1-Aquatic-13-Pipefish-836,0.06654382564976137,0
COD10K-CAM-1-Aquatic-13-Pipefish-837,0.1145079643385947,0
COD10K-CAM-1-Aquatic-13-Pipefish-841,0.05551069671032475,0
COD10K-CAM-1-Aquatic-13-Pipefish-842,0.017900674221500792,0
COD10K-CAM-1-Aquatic-13-Pipefish-843,0.01474748997906454,0
COD10K-CAM-1-Aquatic-13-Pipefish-844,0.049700129889195255,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-845,0.6134590554971988,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-848,0.15404956775902162,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-850,0.018734198118697955,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-853,0.4321914822447534,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-854,0.11664428212284263,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-855,0.21712259208222087,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-858,0.09307590434223334,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-862,0.16296502470792013,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-863,0.3242148471291091,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-865,0.02186637275102349,0
