tag,B,alpha,repr,order,n_draws_paired,d_heldout,jaccard_vs_primary,d_order_spread,ORDER_SENSITIVE
dinoL518,250,2.0,R2_cut,asc_nc,5,0.749073,0.838235,0.161213,1
dinoL518,250,2.0,R2_cut,desc_es,5,0.770795,0.908397,0.161213,1
dinoL518,250,2.0,R2_cut,desc_nc,5,0.689867,1.0,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_0,5,0.786641,0.845018,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_1,5,0.763453,0.851852,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_2,5,0.788177,0.858736,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_3,5,0.767861,0.879699,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_4,5,0.773282,0.831502,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_5,5,0.687263,0.858736,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_6,5,0.710883,0.886792,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_7,5,0.79625,0.851852,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_8,5,0.85108,0.851852,0.161213,1
dinoL518,250,2.0,R2_cut,shuffled_9,5,0.838206,0.865672,0.161213,1
dinoL518,250,2.0,R3_render,asc_index,5,0.680085,0.893939,0.159676,1
dinoL518,250,2.0,R3_render,asc_nc,5,0.693218,0.838235,0.159676,1
dinoL518,250,2.0,R3_render,desc_es,5,0.719646,0.908397,0.159676,1
dinoL518,250,2.0,R3_render,desc_nc,5,0.624163,1.0,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_0,5,0.675209,0.845018,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_1,5,0.643908,0.851852,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_2,5,0.733992,0.858736,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_3,5,0.699565,0.879699,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_4,5,0.677103,0.831502,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_5,5,0.677654,0.858736,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_6,5,0.651758,0.886792,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_7,5,0.744395,0.851852,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_8,5,0.730693,0.851852,0.159676,1
dinoL518,250,2.0,R3_render,shuffled_9,5,0.783839,0.865672,0.159676,1
dinoL518,250,5.0,R2_cut,asc_index,5,0.768977,0.908397,0.126354,1
dinoL518,250,5.0,R2_cut,asc_nc,5,0.697401,0.865672,0.126354,1
dinoL518,250,5.0,R2_cut,desc_es,5,0.747007,0.872659,0.126354,1
dinoL518,250,5.0,R2_cut,desc_nc,5,0.654163,1.0,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_0,5,0.754783,0.838235,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_1,5,0.633024,0.845018,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_2,5,0.711366,0.845018,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_3,5,0.733515,0.845018,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_4,5,0.645824,0.811594,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_5,5,0.625688,0.838235,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_6,5,0.661113,0.879699,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_7,5,0.780517,0.865672,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_8,5,0.728464,0.831502,0.126354,1
dinoL518,250,5.0,R2_cut,shuffled_9,5,0.74446,0.858736,0.126354,1
dinoL518,250,5.0,R3_render,asc_index,5,0.681832,0.908397,0.175498,1
dinoL518,250,5.0,R3_render,asc_nc,5,0.604901,0.865672,0.175498,1
dinoL518,250,5.0,R3_render,desc_es,5,0.623897,0.872659,0.175498,1
dinoL518,250,5.0,R3_render,desc_nc,5,0.528145,1.0,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_0,5,0.651789,0.838235,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_1,5,0.55244,0.845018,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_2,5,0.605852,0.845018,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_3,5,0.628559,0.845018,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_4,5,0.567167,0.811594,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_5,5,0.529904,0.838235,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_6,5,0.608583,0.879699,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_7,5,0.703643,0.865672,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_8,5,0.565624,0.831502,0.175498,1
dinoL518,250,5.0,R3_render,shuffled_9,5,0.623091,0.858736,0.175498,1
dinoL518,250,10.0,R2_cut,asc_index,5,0.730107,0.915709,0.080211,1
dinoL518,250,10.0,R2_cut,asc_nc,5,0.761343,0.886792,0.080211,1
dinoL518,250,10.0,R2_cut,desc_es,5,0.698893,0.865672,0.080211,1
dinoL518,250,10.0,R2_cut,desc_nc,5,0.681132,1.0,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_0,5,0.673462,0.851852,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_1,5,0.659774,0.845018,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_2,5,0.679845,0.851852,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_3,5,0.75773,0.845018,0.080211,1
