tag,B,alpha,repr,k,clusters_funded,max_alloc_share,alloc_entropy_norm,tv_from_uniform,n_displaced,degenerate,norm_dmean,d_insample,d_heldout,d_heldout_sd,d_heldout_min,d_heldout_max,ci_lo,ci_hi,band_lo,band_hi,ci_straddles_band,d_order_spread,ORDER_SENSITIVE
dinoL518,2000,0.02,R3_render,75,1,1.0,0.0,0.98667,0,1,0.05621,0.527914,0.354395,0.045552,0.284925,0.436678,0.231503,0.477545,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,2000,0.05,R2_cut,75,2,0.9985,0.00292,0.98495,1,1,0.060376,0.665487,0.462202,0.050639,0.338558,0.584257,0.325162,0.598012,AMBIGUOUS,REOPENS,1,0.031958,0
dinoL518,2000,0.05,R3_render,75,2,0.9985,0.00292,0.98495,1,1,0.056027,0.528915,0.357837,0.054955,0.22245,0.472076,0.214039,0.502998,AMBIGUOUS,REOPENS,1,0.033052,0
dinoL518,2000,0.1,R2_cut,75,2,0.96,0.03894,0.97325,38,1,0.058762,0.67989,0.455473,0.047159,0.351407,0.587517,0.32617,0.594203,AMBIGUOUS,REOPENS,1,0.015393,0
dinoL518,2000,0.1,R3_render,75,2,0.96,0.03894,0.97325,38,1,0.053347,0.568899,0.361372,0.053319,0.242209,0.478576,0.217433,0.498015,AMBIGUOUS,AMBIGUOUS,0,0.030911,0
dinoL518,2000,0.2,R2_cut,75,4,0.822,0.11979,0.9626,173,0,0.058822,0.743907,0.476056,0.04981,0.360186,0.566038,0.336317,0.594918,AMBIGUOUS,REOPENS,1,0.024998,0
dinoL518,2000,0.2,R3_render,75,4,0.822,0.11979,0.9626,173,0,0.053329,0.648234,0.387927,0.050268,0.296888,0.46868,0.254335,0.507203,AMBIGUOUS,REOPENS,1,0.023032,0
dinoL518,2000,0.5,R2_cut,75,52,0.509,0.36203,0.85906,588,0,0.057769,0.713853,0.466804,0.032525,0.413325,0.523012,0.359379,0.572594,AMBIGUOUS,REOPENS,1,0.060254,1
dinoL518,2000,0.5,R3_render,75,52,0.509,0.36203,0.85906,588,0,0.054497,0.555129,0.361326,0.056193,0.261176,0.44137,0.218126,0.489426,AMBIGUOUS,AMBIGUOUS,0,0.036774,0
dinoL518,2000,1.0,R2_cut,75,75,0.194,0.78644,0.49253,1408,0,0.051992,0.67782,0.392319,0.043526,0.274698,0.483345,0.257669,0.507031,AMBIGUOUS,REOPENS,1,0.036217,0
dinoL518,2000,1.0,R3_render,75,75,0.194,0.78644,0.49253,1408,0,0.049485,0.594455,0.324858,0.053359,0.18388,0.411268,0.165702,0.444933,CONFIRMED,AMBIGUOUS,1,0.061505,1
dinoL518,2000,2.0,R2_cut,75,75,0.0625,0.95839,0.21106,1696,0,0.052405,0.648043,0.384875,0.04624,0.273525,0.456384,0.251735,0.504831,AMBIGUOUS,REOPENS,1,0.017683,0
dinoL518,2000,2.0,R3_render,75,75,0.0625,0.95839,0.21106,1696,0,0.050691,0.603768,0.348976,0.047415,0.228763,0.434615,0.215502,0.472191,AMBIGUOUS,AMBIGUOUS,0,0.031176,0
dinoL518,2000,5.0,R2_cut,75,75,0.0255,0.99466,0.07567,1633,0,0.052796,0.634274,0.378448,0.04905,0.297311,0.448075,0.248799,0.504244,AMBIGUOUS,REOPENS,1,0.05586,1
dinoL518,2000,5.0,R3_render,75,75,0.0255,0.99466,0.07567,1633,0,0.051344,0.589821,0.345217,0.054182,0.239792,0.447307,0.202645,0.478162,AMBIGUOUS,AMBIGUOUS,0,0.068201,1
dinoL518,2000,10.0,R2_cut,75,75,0.0185,0.99876,0.03672,1643,0,0.052513,0.631351,0.368982,0.034187,0.28183,0.429625,0.255104,0.478791,AMBIGUOUS,AMBIGUOUS,0,0.063858,1
dinoL518,2000,10.0,R3_render,75,75,0.0185,0.99876,0.03672,1643,0,0.050909,0.58259,0.340968,0.027844,0.273164,0.390991,0.236093,0.445282,AMBIGUOUS,AMBIGUOUS,0,0.053518,1
dinoL518,2000,20.0,R2_cut,75,75,0.016,0.9997,0.01815,1616,0,0.053099,0.629259,0.382048,0.041762,0.316383,0.456193,0.264653,0.501824,AMBIGUOUS,REOPENS,1,0.068539,1
dinoL518,2000,20.0,R3_render,75,75,0.016,0.9997,0.01815,1616,0,0.051587,0.580815,0.351592,0.039767,0.288395,0.425882,0.235559,0.468943,AMBIGUOUS,AMBIGUOUS,0,0.066821,1
dinoL518,2000,40.0,R2_cut,75,75,0.0145,0.99993,0.00903,1603,0,0.051603,0.625088,0.360531,0.043747,0.251763,0.442546,0.231378,0.480948,AMBIGUOUS,AMBIGUOUS,0,0.047051,0
dinoL518,2000,40.0,R3_render,75,75,0.0145,0.99993,0.00903,1603,0,0.050436,0.580895,0.331563,0.039359,0.232922,0.399853,0.210547,0.445384,AMBIGUOUS,AMBIGUOUS,0,0.038692,0
dinoL518,3000,0.02,R2_cut,75,1,1.0,0.0,0.98667,0,1,0.038942,0.457717,0.236899,0.026522,0.190817,0.289085,0.150553,0.325382,CONFIRMED,AMBIGUOUS,1,0.0,0
dinoL518,3000,0.02,R3_render,75,1,1.0,0.0,0.98667,0,1,0.035506,0.379272,0.167102,0.028804,0.11322,0.24523,0.078313,0.262013,CONFIRMED,AMBIGUOUS,1,0.0,0
dinoL518,3000,0.05,R2_cut,75,2,0.99833,0.00292,0.98495,12,1,0.038831,0.458068,0.244265,0.024143,0.189821,0.298791,0.158119,0.329033,CONFIRMED,AMBIGUOUS,1,0.019147,0
dinoL518,3000,0.05,R3_render,75,2,0.99833,0.00292,0.98495,12,1,0.035335,0.38086,0.173359,0.025312,0.126911,0.231392,0.087226,0.261483,CONFIRMED,AMBIGUOUS,1,0.009238,0
dinoL518,3000,0.1,R2_cut,75,2,0.96033,0.03894,0.97325,165,1,0.038334,0.477641,0.237282,0.02171,0.201546,0.275869,0.156916,0.319783,CONFIRMED,AMBIGUOUS,1,0.005624,0
dinoL518,3000,0.1,R3_render,75,2,0.96033,0.03894,0.97325,165,1,0.034278,0.427196,0.165368,0.024242,0.125368,0.211967,0.080863,0.25209,CONFIRMED,AMBIGUOUS,1,0.011988,0
dinoL518,3000,0.2,R2_cut,75,4,0.822,0.11979,0.9626,625,0,0.038369,0.481457,0.242117,0.032242,0.169212,0.315182,0.146547,0.337886,CONFIRMED,AMBIGUOUS,1,0.015255,0
dinoL518,3000,0.2,R3_render,75,4,0.822,0.11979,0.9626,625,0,0.035093,0.394102,0.179903,0.029837,0.107552,0.222445,0.080198,0.264794,CONFIRMED,AMBIGUOUS,1,0.013993,0
