tag,B,alpha,repr,draw,norm_dmean,d_insample,d_heldout
dinoL518,250,20.0,R3_render,4,0.114612,1.712528,0.54451
dinoL518,250,20.0,R3_render,5,0.112722,1.703072,0.526716
dinoL518,250,20.0,R3_render,6,0.114582,1.583271,0.45573
dinoL518,250,20.0,R3_render,7,0.107334,1.679748,0.340962
dinoL518,250,20.0,R3_render,8,0.116595,1.7163,0.807086
dinoL518,250,20.0,R3_render,9,0.118288,1.652238,0.703216
dinoL518,250,20.0,R3_render,10,0.119447,1.580567,0.915713
dinoL518,250,20.0,R3_render,11,0.114576,1.605691,0.596662
dinoL518,250,20.0,R3_render,12,0.11895,1.634898,0.633899
dinoL518,250,20.0,R3_render,13,0.11339,1.549904,0.388598
dinoL518,250,20.0,R3_render,14,0.112346,1.616321,0.216959
dinoL518,250,20.0,R3_render,15,0.110462,1.690647,0.498551
dinoL518,250,20.0,R3_render,16,0.116558,1.643559,0.68561
dinoL518,250,20.0,R3_render,17,0.106552,1.418374,0.247856
dinoL518,250,20.0,R3_render,18,0.115095,1.549268,0.599404
dinoL518,250,20.0,R3_render,19,0.109456,1.691608,0.640054
dinoL518,250,40.0,R2_cut,0,0.119299,1.903115,0.679956
