tag,B,alpha,repr,d_heldout,ci_draws_lo,ci_draws_hi,ci_boot_lo,ci_boot_hi,ci_combined_lo,ci_combined_hi,band_lo,band_hi,ci_straddles_band
dinoL518,4447,0.02,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.02,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.05,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.05,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.1,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.1,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.2,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.2,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.5,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,0.5,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,1.0,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,1.0,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,2.0,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,2.0,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,5.0,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,5.0,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,10.0,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,10.0,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,20.0,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,20.0,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,40.0,R2_cut,-0.347283,-0.378256,-0.319644,-0.415826,-0.280234,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0
dinoL518,4447,40.0,R3_render,-0.332426,-0.37634,-0.268135,-0.412445,-0.241989,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0
dinoL224,250,0.02,R2_cut,1.458163,1.294776,1.743537,1.147182,1.864686,1.147182,1.864686,REOPENS,REOPENS,0
dinoL224,250,0.02,R3_render,1.305186,1.139666,1.530568,1.005557,1.64764,1.005557,1.64764,REOPENS,REOPENS,0
dinoL224,250,0.05,R2_cut,1.458163,1.294776,1.743537,1.147182,1.864686,1.147182,1.864686,REOPENS,REOPENS,0
dinoL224,250,0.05,R3_render,1.305186,1.139666,1.530568,1.005557,1.64764,1.005557,1.64764,REOPENS,REOPENS,0
dinoL224,250,0.1,R2_cut,1.458163,1.294776,1.743537,1.147182,1.864686,1.147182,1.864686,REOPENS,REOPENS,0
dinoL224,250,0.1,R3_render,1.305186,1.139666,1.530568,1.005557,1.64764,1.005557,1.64764,REOPENS,REOPENS,0
dinoL224,250,0.2,R2_cut,1.443716,1.245876,1.708046,1.114298,1.813697,1.114298,1.813697,REOPENS,REOPENS,0
dinoL224,250,0.2,R3_render,1.303962,1.114917,1.484238,0.99034,1.634814,0.99034,1.634814,REOPENS,REOPENS,0
dinoL224,250,0.5,R2_cut,1.135296,0.968936,1.332875,0.838255,1.463265,0.838255,1.463265,REOPENS,REOPENS,0
dinoL224,250,0.5,R3_render,1.07954,0.931289,1.255855,0.795897,1.390213,0.795897,1.390213,REOPENS,REOPENS,0
dinoL224,250,1.0,R2_cut,1.074061,0.845025,1.259298,0.739942,1.405276,0.739942,1.405276,REOPENS,REOPENS,0
dinoL224,250,1.0,R3_render,0.980616,0.797476,1.19113,0.670607,1.315388,0.670607,1.315388,REOPENS,REOPENS,0
dinoL224,250,2.0,R2_cut,1.232549,0.913358,1.49149,0.770015,1.642213,0.770015,1.642213,REOPENS,REOPENS,0
dinoL224,250,2.0,R3_render,1.038803,0.805789,1.27983,0.663329,1.44996,0.663329,1.44996,REOPENS,REOPENS,0
